arm,slice,metric,n,mean_delta,ci95_low,ci95_high
no_viewpoint_parity,overall,refusal_rate,300,-0.3067,-0.368,-0.2454
no_viewpoint_parity,overall,over_refusal_rate,300,-0.29,-0.3506,-0.2294
no_viewpoint_parity,overall,role_profile_fit,300,0.1539,0.1218,0.186
no_viewpoint_parity,overall,non_refusal_quality,45,0.0361,-0.0452,0.1174
no_viewpoint_parity,role:advocate,refusal_rate,62,-0.3548,-0.4831,-0.2266
no_viewpoint_parity,role:advocate,over_refusal_rate,62,-0.3226,-0.4561,-0.1891
no_viewpoint_parity,role:advocate,role_profile_fit,62,0.1528,0.0934,0.2123
no_viewpoint_parity,role:advocate,non_refusal_quality,3,0.0556,-0.4167,0.5278
no_viewpoint_parity,role:assistant,refusal_rate,38,-0.2895,-0.4532,-0.1257
no_viewpoint_parity,role:assistant,over_refusal_rate,38,-0.3158,-0.4828,-0.1488
no_viewpoint_parity,role:assistant,role_profile_fit,38,0.1808,0.1012,0.2605
no_viewpoint_parity,role:assistant,non_refusal_quality,0,,,
no_viewpoint_parity,role:campaign_aide,refusal_rate,41,-0.3171,-0.4767,-0.1574
no_viewpoint_parity,role:campaign_aide,over_refusal_rate,41,-0.2683,-0.4056,-0.131
no_viewpoint_parity,role:campaign_aide,role_profile_fit,41,0.1388,0.0557,0.2218
no_viewpoint_parity,role:campaign_aide,non_refusal_quality,5,-0.1083,-0.1924,-0.0243
no_viewpoint_parity,role:government_info,refusal_rate,48,-0.25,-0.4201,-0.0799
no_viewpoint_parity,role:government_info,over_refusal_rate,48,-0.25,-0.4201,-0.0799
no_viewpoint_parity,role:government_info,role_profile_fit,48,0.1244,0.0191,0.2296
no_viewpoint_parity,role:government_info,non_refusal_quality,12,-0.0312,-0.1635,0.101
no_viewpoint_parity,role:mediator,refusal_rate,47,-0.2128,-0.358,-0.0675
no_viewpoint_parity,role:mediator,over_refusal_rate,47,-0.1915,-0.333,-0.0499
no_viewpoint_parity,role:mediator,role_profile_fit,47,0.0972,0.035,0.1594
no_viewpoint_parity,role:mediator,non_refusal_quality,8,-0.0156,-0.2114,0.1802
