slice,metric,n,mean_delta,ci95_low,ci95_high
overall,refusal_rate,2100,-0.0086,-0.0228,0.0057
overall,over_refusal_rate,2100,-0.0086,-0.0224,0.0053
overall,role_profile_fit,2100,-0.0097,-0.0209,0.0014
overall,non_refusal_quality,1692,-0.0309,-0.0395,-0.0223
role:advocate,refusal_rate,300,-0.0233,-0.0681,0.0215
role:advocate,over_refusal_rate,300,-0.01,-0.0539,0.0339
role:advocate,role_profile_fit,300,-0.007,-0.0337,0.0198
role:advocate,non_refusal_quality,213,-0.0103,-0.0331,0.0125
role:assistant,refusal_rate,300,0.0033,-0.0294,0.0361
role:assistant,over_refusal_rate,300,0.0,-0.0321,0.0321
role:assistant,role_profile_fit,300,0.0061,-0.0186,0.0309
role:assistant,non_refusal_quality,241,-0.0188,-0.0396,0.0019
role:campaign_aide,refusal_rate,300,0.0,-0.0414,0.0414
role:campaign_aide,over_refusal_rate,300,0.0,-0.0393,0.0393
role:campaign_aide,role_profile_fit,300,0.0062,-0.0211,0.0335
role:campaign_aide,non_refusal_quality,230,-0.0187,-0.038,0.0007
role:government_info,refusal_rate,300,-0.0133,-0.0536,0.027
role:government_info,over_refusal_rate,300,-0.01,-0.0487,0.0287
role:government_info,role_profile_fit,300,-0.031,-0.0678,0.0058
role:government_info,non_refusal_quality,241,-0.0543,-0.0783,-0.0303
role:mediator,refusal_rate,300,0.0167,-0.0133,0.0466
role:mediator,over_refusal_rate,300,0.01,-0.02,0.04
role:mediator,role_profile_fit,300,-0.0288,-0.057,-0.0006
role:mediator,non_refusal_quality,246,-0.0466,-0.0717,-0.0215
role:news_provider,refusal_rate,300,-0.02,-0.0558,0.0158
role:news_provider,over_refusal_rate,300,-0.02,-0.0546,0.0146
role:news_provider,role_profile_fit,300,-0.0102,-0.0392,0.0189
role:news_provider,non_refusal_quality,265,-0.0274,-0.0497,-0.005
role:researcher,refusal_rate,300,-0.0233,-0.0608,0.0142
role:researcher,over_refusal_rate,300,-0.03,-0.0663,0.0063
role:researcher,role_profile_fit,300,-0.0036,-0.0353,0.028
role:researcher,non_refusal_quality,256,-0.0369,-0.0605,-0.0134
